id_cliente,fecha_compra,monto,canal,medio_pago
C042,2024-08-17,200,Tienda Física,Tarjeta Débito
C055,2024-08-17,50,Tienda Física,Efectivo
C165,2024-08-18,200,Tienda Física,Tarjeta Débito
C267,2024-08-18,10,Tienda Física,Efectivo
C268,2024-08-18,40,Tienda Física,Efectivo
C055,2024-08-19,50,Tienda Física,Efectivo
C033,2024-08-20,40,Tienda Física,Efectivo
C148,2024-08-21,120,App,Efectivo
C068,2024-08-21,10,Tienda Física,Efectivo
C200,2024-08-21,50,Tienda Física,Efectivo
C267,2024-08-21,60,App,Efectivo
C084,2024-08-21,10,Tienda Física,Efectivo
C275,2024-08-22,160,Tienda Física,Tarjeta Débito
C220,2024-08-22,50,Tienda Física,Efectivo
C213,2024-08-22,140,App,Tarjeta Crédito
C083,2024-08-22,140,App,Tarjeta Crédito
C152,2024-08-22,180,App,Tarjeta Débito
C189,2024-08-22,140,Tienda Física,Efectivo
C002,2024-08-22,120,Online,Tarjeta Débito
C207,2024-08-22,40,Tienda Física,Efectivo
C195,2024-08-22,200,Tienda Física,Tarjeta Crédito
C026,2024-08-23,100,Online,Tarjeta Débito
C016,2024-08-23,180,App,Tarjeta Débito
C276,2024-08-23,160,App,Tarjeta Débito
C033,2024-08-24,50,Tienda Física,Efectivo
C110,2024-08-24,60,Tienda Física,Tarjeta Crédito
C165,2024-08-24,180,Online,Tarjeta Débito
C082,2024-08-25,10,Tienda Física,Efectivo
C152,2024-08-25,200,Online,Tarjeta Débito
C128,2024-08-25,20,Tienda Física,Efectivo
C074,2024-08-25,40,Tienda Física,Efectivo
C161,2024-08-25,200,Tienda Física,Tarjeta Débito
C052,2024-08-25,100,App,Tarjeta Débito
C026,2024-08-26,140,App,Tarjeta Débito
C200,2024-08-26,50,Tienda Física,Efectivo
C220,2024-08-26,40,Tienda Física,Efectivo
C068,2024-08-26,60,Tienda Física,Tarjeta Débito
C004,2024-08-26,20,Tienda Física,Efectivo
C278,2024-08-26,60,App,Tarjeta Crédito
C277,2024-08-26,140,Tienda Física,Efectivo
C004,2024-08-26,30,Tienda Física,Efectivo
C076,2024-08-26,100,App,Efectivo
C107,2024-08-26,30,Tienda Física,Efectivo
C019,2024-08-27,200,Online,Tarjeta Crédito
C232,2024-08-27,40,Tienda Física,Efectivo
C107,2024-08-27,30,Tienda Física,Efectivo
C066,2024-08-27,200,Online,Tarjeta Crédito
C126,2024-08-27,200,Tienda Física,Tarjeta Débito
C074,2024-08-27,40,Tienda Física,Efectivo
C006,2024-08-28,180,App,Efectivo
C237,2024-08-28,140,Online,Tarjeta Débito
C226,2024-08-28,60,App,Tarjeta Crédito
C141,2024-08-28,100,App,Efectivo
C107,2024-08-28,20,Tienda Física,Efectivo
C168,2024-08-29,160,App,Efectivo
C100,2024-08-29,140,Tienda Física,Efectivo
C148,2024-08-29,180,Tienda Física,Tarjeta Crédito
C031,2024-08-29,100,Tienda Física,Tarjeta Crédito
C020,2024-08-29,200,Tienda Física,Tarjeta Débito
C105,2024-08-29,180,Tienda Física,Efectivo
C050,2024-08-29,120,Online,Tarjeta Crédito
C213,2024-08-29,160,App,Tarjeta Crédito
C027,2024-08-30,160,App,Tarjeta Crédito
C285,2024-08-30,50,Tienda Física,Efectivo
C090,2024-08-30,180,Online,Efectivo
C079,2024-08-31,10,Tienda Física,Efectivo
C292,2024-08-31,20,Tienda Física,Efectivo
C070,2024-08-31,180,App,Tarjeta Débito
C083,2024-08-31,180,App,Tarjeta Débito
C296,2024-08-31,60,Tienda Física,Tarjeta Crédito
C165,2024-08-31,200,Tienda Física,Tarjeta Crédito
C217,2024-09-01,30,Tienda Física,Efectivo
C116,2024-09-01,180,Online,Tarjeta Débito
C159,2024-09-01,60,Tienda Física,Tarjeta Débito
C145,2024-09-01,10,Tienda Física,Efectivo
C089,2024-09-03,180,Online,Tarjeta Crédito
C010,2024-09-04,20,Tienda Física,Efectivo
C045,2024-09-04,200,Tienda Física,Tarjeta Débito
C262,2024-09-04,100,Online,Tarjeta Débito
C152,2024-09-04,160,Online,Tarjeta Débito
C278,2024-09-04,50,Tienda Física,Efectivo
C133,2024-09-05,10,Tienda Física,Efectivo
C029,2024-09-05,40,Tienda Física,Efectivo
C033,2024-09-05,40,Tienda Física,Efectivo
C110,2024-09-06,20,Tienda Física,Efectivo
C176,2024-09-06,120,App,Tarjeta Crédito
C090,2024-09-06,100,Tienda Física,Tarjeta Débito
C212,2024-09-06,200,Tienda Física,Tarjeta Débito
C133,2024-09-06,60,Tienda Física,Tarjeta Crédito
C070,2024-09-06,180,Tienda Física,Tarjeta Débito
C245,2024-09-06,160,Online,Tarjeta Crédito
C004,2024-09-07,20,Tienda Física,Efectivo
C119,2024-09-07,180,Online,Tarjeta Débito
C129,2024-09-07,140,Tienda Física,Tarjeta Crédito
C093,2024-09-08,100,Tienda Física,Tarjeta Débito
C267,2024-09-08,60,Online,Tarjeta Débito
C286,2024-09-09,120,Online,Tarjeta Débito
C003,2024-09-09,40,Tienda Física,Efectivo
C185,2024-09-09,60,App,Efectivo
C267,2024-09-09,20,Tienda Física,Efectivo
C279,2024-09-09,200,Tienda Física,Tarjeta Débito
C084,2024-09-10,10,Tienda Física,Efectivo
C180,2024-09-10,40,Tienda Física,Efectivo
C135,2024-09-10,30,Tienda Física,Efectivo
C030,2024-09-10,200,Tienda Física,Tarjeta Débito
C278,2024-09-11,60,App,Efectivo
C011,2024-09-11,180,Online,Efectivo
C154,2024-09-11,180,Tienda Física,Tarjeta Crédito
C276,2024-09-11,100,App,Tarjeta Débito
C083,2024-09-12,160,Online,Tarjeta Débito
C239,2024-09-12,100,App,Tarjeta Débito
C031,2024-09-12,140,Online,Efectivo
C177,2024-09-12,100,App,Tarjeta Crédito
C159,2024-09-12,40,Tienda Física,Efectivo
C003,2024-09-13,50,Tienda Física,Efectivo
C299,2024-09-13,100,App,Tarjeta Crédito
C200,2024-09-13,60,Online,Efectivo
C268,2024-09-13,50,Tienda Física,Efectivo
C143,2024-09-13,60,Tienda Física,Tarjeta Crédito
C161,2024-09-13,160,Tienda Física,Tarjeta Débito
C089,2024-09-14,160,Tienda Física,Tarjeta Crédito
C268,2024-09-14,40,Tienda Física,Efectivo
C184,2024-09-14,180,Online,Tarjeta Débito
C005,2024-09-14,140,Online,Efectivo
C288,2024-09-15,140,Online,Efectivo
C016,2024-09-15,200,Tienda Física,Tarjeta Débito
C020,2024-09-16,160,Tienda Física,Efectivo
C055,2024-09-16,40,Tienda Física,Efectivo
C056,2024-09-16,100,Tienda Física,Tarjeta Crédito
C278,2024-09-16,10,Tienda Física,Efectivo
C004,2024-09-16,20,Tienda Física,Efectivo
C006,2024-09-16,160,App,Efectivo
C120,2024-09-16,180,Tienda Física,Tarjeta Crédito
C226,2024-09-16,20,Tienda Física,Efectivo
C240,2024-09-17,140,App,Efectivo
C093,2024-09-17,140,Tienda Física,Tarjeta Crédito
C050,2024-09-17,100,Tienda Física,Tarjeta Crédito
C216,2024-09-17,200,Online,Tarjeta Débito
C010,2024-09-17,40,Tienda Física,Efectivo
C055,2024-09-17,40,Tienda Física,Efectivo
C279,2024-09-18,160,Tienda Física,Efectivo
C021,2024-09-18,200,Online,Tarjeta Crédito
C012,2024-09-19,30,Tienda Física,Efectivo
C110,2024-09-19,20,Tienda Física,Efectivo
C220,2024-09-19,20,Tienda Física,Efectivo
C285,2024-09-20,40,Tienda Física,Efectivo
C182,2024-09-20,180,Tienda Física,Tarjeta Crédito
C207,2024-09-20,10,Tienda Física,Efectivo
C232,2024-09-20,60,Online,Tarjeta Débito
C215,2024-09-20,10,Tienda Física,Efectivo
C089,2024-09-20,200,Online,Tarjeta Crédito
C278,2024-09-20,40,Tienda Física,Efectivo
C018,2024-09-21,200,Tienda Física,Tarjeta Débito
C022,2024-09-21,30,Tienda Física,Efectivo
C299,2024-09-21,180,Online,Tarjeta Débito
C081,2024-09-21,10,Tienda Física,Efectivo
C003,2024-09-21,50,Tienda Física,Efectivo
C161,2024-09-21,160,Online,Tarjeta Débito
C145,2024-09-21,30,Tienda Física,Efectivo
C299,2024-09-22,120,Online,Tarjeta Crédito
C170,2024-09-22,60,Tienda Física,Efectivo
C068,2024-09-22,30,Tienda Física,Efectivo
C164,2024-09-23,30,Tienda Física,Efectivo
C042,2024-09-23,200,Tienda Física,Tarjeta Débito
C154,2024-09-23,100,Tienda Física,Tarjeta Crédito
C082,2024-09-23,50,Tienda Física,Efectivo
C207,2024-09-24,20,Tienda Física,Efectivo
C152,2024-09-24,140,App,Tarjeta Crédito
C050,2024-09-24,140,Online,Tarjeta Débito
C050,2024-09-24,100,Online,Efectivo
C090,2024-09-25,160,Online,Tarjeta Débito
C027,2024-09-25,180,Online,Tarjeta Crédito
C093,2024-09-25,120,Tienda Física,Tarjeta Débito
C018,2024-09-25,180,Online,Tarjeta Crédito
C033,2024-09-26,60,Online,Tarjeta Débito
C186,2024-09-26,140,App,Efectivo
C276,2024-09-26,180,Tienda Física,Efectivo
C081,2024-09-26,40,Tienda Física,Efectivo
C165,2024-09-26,160,App,Tarjeta Crédito
C141,2024-09-27,140,Tienda Física,Efectivo
C204,2024-09-27,200,Online,Tarjeta Débito
C268,2024-09-27,60,Online,Tarjeta Crédito
C090,2024-09-27,120,Online,Tarjeta Débito
C220,2024-09-28,10,Tienda Física,Efectivo
C019,2024-09-28,160,App,Tarjeta Débito
C220,2024-09-28,40,Tienda Física,Efectivo
C194,2024-09-28,200,Tienda Física,Tarjeta Crédito
C206,2024-09-28,100,App,Tarjeta Crédito
C082,2024-09-28,30,Tienda Física,Efectivo
C205,2024-09-28,50,Tienda Física,Efectivo
C232,2024-09-28,60,App,Tarjeta Débito
C260,2024-09-28,140,Online,Efectivo
C212,2024-09-28,160,Online,Tarjeta Débito
C118,2024-09-29,120,App,Tarjeta Débito
C076,2024-09-29,180,App,Tarjeta Crédito
C129,2024-09-29,120,App,Tarjeta Crédito
C194,2024-09-29,200,Tienda Física,Tarjeta Crédito
C081,2024-09-30,10,Tienda Física,Efectivo
C100,2024-09-30,140,Online,Efectivo
C084,2024-09-30,30,Tienda Física,Efectivo
C119,2024-09-30,200,Tienda Física,Tarjeta Crédito
C011,2024-09-30,140,Tienda Física,Tarjeta Débito
C045,2024-09-30,120,App,Efectivo
C220,2024-09-30,50,Tienda Física,Efectivo
C299,2024-09-30,140,Tienda Física,Efectivo
C143,2024-10-01,60,App,Tarjeta Débito
C002,2024-10-01,100,Online,Efectivo
C256,2024-10-02,140,App,Tarjeta Débito
C148,2024-10-02,200,Online,Tarjeta Débito
C154,2024-10-02,100,Online,Efectivo
C217,2024-10-02,30,Tienda Física,Efectivo
C256,2024-10-03,140,App,Efectivo
C026,2024-10-03,140,Tienda Física,Efectivo
C010,2024-10-03,10,Tienda Física,Efectivo
C135,2024-10-04,30,Tienda Física,Efectivo
C191,2024-10-04,20,Tienda Física,Efectivo
C143,2024-10-04,50,Tienda Física,Efectivo
C176,2024-10-04,100,Tienda Física,Tarjeta Crédito
C215,2024-10-04,30,Tienda Física,Efectivo
C011,2024-10-04,200,Tienda Física,Tarjeta Débito
C030,2024-10-04,160,Online,Efectivo
C005,2024-10-05,120,App,Tarjeta Crédito
C260,2024-10-05,120,App,Tarjeta Crédito
C285,2024-10-05,50,Tienda Física,Efectivo
C141,2024-10-05,140,Tienda Física,Tarjeta Débito
C141,2024-10-05,100,Online,Tarjeta Débito
C021,2024-10-06,200,Tienda Física,Tarjeta Crédito
C110,2024-10-07,60,App,Tarjeta Crédito
C036,2024-10-07,160,App,Efectivo
C027,2024-10-07,160,Online,Tarjeta Crédito
C240,2024-10-08,100,App,Tarjeta Crédito
C133,2024-10-08,50,Tienda Física,Efectivo
C239,2024-10-08,120,Tienda Física,Efectivo
C029,2024-10-09,10,Tienda Física,Efectivo
C296,2024-10-09,60,Tienda Física,Tarjeta Débito
C017,2024-10-09,60,Tienda Física,Tarjeta Débito
C189,2024-10-09,100,Online,Tarjeta Débito
C170,2024-10-09,60,Online,Tarjeta Crédito
C050,2024-10-10,180,Tienda Física,Tarjeta Crédito
C089,2024-10-10,200,Tienda Física,Tarjeta Crédito
C164,2024-10-10,20,Tienda Física,Efectivo
C286,2024-10-10,120,Tienda Física,Tarjeta Débito
C148,2024-10-10,140,Online,Tarjeta Crédito
C164,2024-10-11,50,Tienda Física,Efectivo
C055,2024-10-11,60,Online,Tarjeta Débito
C185,2024-10-11,30,Tienda Física,Efectivo
C020,2024-10-11,180,Tienda Física,Efectivo
C277,2024-10-12,120,Tienda Física,Efectivo
C259,2024-10-12,100,Online,Tarjeta Crédito
C055,2024-10-12,60,App,Tarjeta Crédito
C186,2024-10-12,200,Tienda Física,Tarjeta Crédito
C198,2024-10-13,100,App,Tarjeta Crédito
C171,2024-10-14,140,App,Tarjeta Débito
C093,2024-10-14,140,Tienda Física,Tarjeta Débito
C010,2024-10-14,30,Tienda Física,Efectivo
C171,2024-10-15,100,Tienda Física,Tarjeta Crédito
C010,2024-10-15,40,Tienda Física,Efectivo
C031,2024-10-16,100,Online,Tarjeta Crédito
C191,2024-10-16,20,Tienda Física,Efectivo
C029,2024-10-16,20,Tienda Física,Efectivo
C139,2024-10-17,30,Tienda Física,Efectivo
C204,2024-10-17,120,App,Efectivo
C154,2024-10-17,160,Tienda Física,Tarjeta Débito
C205,2024-10-17,30,Tienda Física,Efectivo
C103,2024-10-17,160,Tienda Física,Tarjeta Débito
C056,2024-10-18,100,App,Efectivo
C095,2024-10-18,40,Tienda Física,Efectivo
C030,2024-10-19,160,Tienda Física,Tarjeta Crédito
C074,2024-10-19,50,Tienda Física,Efectivo
C002,2024-10-19,100,Online,Efectivo
C182,2024-10-20,180,App,Efectivo
C159,2024-10-20,40,Tienda Física,Efectivo
C013,2024-10-21,140,App,Tarjeta Débito
C237,2024-10-21,100,Online,Tarjeta Crédito
C016,2024-10-21,160,Tienda Física,Efectivo
C182,2024-10-22,200,Online,Tarjeta Crédito
C051,2024-10-22,160,App,Tarjeta Débito
C029,2024-10-22,60,Tienda Física,Tarjeta Débito
C143,2024-10-22,50,Tienda Física,Efectivo
C245,2024-10-22,180,Online,Tarjeta Débito
C209,2024-10-23,10,Tienda Física,Efectivo
C171,2024-10-23,100,Tienda Física,Efectivo
C195,2024-10-23,180,App,Tarjeta Crédito
C165,2024-10-23,200,Tienda Física,Tarjeta Crédito
C207,2024-10-23,20,Tienda Física,Efectivo
C207,2024-10-23,10,Tienda Física,Efectivo
C076,2024-10-24,160,Online,Tarjeta Crédito
C012,2024-10-24,30,Tienda Física,Efectivo
C209,2024-10-24,10,Tienda Física,Efectivo
C207,2024-10-24,60,App,Tarjeta Débito
C296,2024-10-25,50,Tienda Física,Efectivo
C022,2024-10-25,10,Tienda Física,Efectivo
C176,2024-10-25,140,Online,Tarjeta Crédito
C180,2024-10-25,40,Tienda Física,Efectivo
C292,2024-10-26,20,Tienda Física,Efectivo
C285,2024-10-26,40,Tienda Física,Efectivo
C128,2024-10-26,20,Tienda Física,Efectivo
C084,2024-10-27,10,Tienda Física,Efectivo
C194,2024-10-27,200,Online,Tarjeta Crédito
C135,2024-10-28,50,Tienda Física,Efectivo
C216,2024-10-28,160,App,Tarjeta Crédito
C195,2024-10-28,180,Online,Tarjeta Crédito
C076,2024-10-28,160,Tienda Física,Tarjeta Crédito
C170,2024-10-28,60,Tienda Física,Efectivo
C191,2024-10-28,10,Tienda Física,Efectivo
C237,2024-10-29,100,App,Tarjeta Crédito
C005,2024-10-29,180,Tienda Física,Tarjeta Débito
C083,2024-10-29,200,Online,Tarjeta Crédito
C218,2024-10-29,50,Tienda Física,Efectivo
C100,2024-10-29,100,Online,Tarjeta Crédito
C176,2024-10-30,160,Tienda Física,Tarjeta Crédito
C216,2024-10-30,160,Online,Tarjeta Crédito
C018,2024-10-30,200,Tienda Física,Tarjeta Crédito
C278,2024-10-31,30,Tienda Física,Efectivo
C278,2024-10-31,40,Tienda Física,Efectivo
C218,2024-10-31,60,App,Efectivo
C012,2024-10-31,30,Tienda Física,Efectivo
C003,2024-10-31,50,Tienda Física,Efectivo
C205,2024-11-01,50,Tienda Física,Efectivo
C105,2024-11-01,180,Online,Tarjeta Crédito
C006,2024-11-01,200,Tienda Física,Tarjeta Débito
C185,2024-11-01,50,Tienda Física,Efectivo
C263,2024-11-01,40,Tienda Física,Efectivo
C135,2024-11-01,60,Tienda Física,Tarjeta Débito
C215,2024-11-01,10,Tienda Física,Efectivo
C279,2024-11-01,160,Tienda Física,Efectivo
C217,2024-11-01,30,Tienda Física,Efectivo
C093,2024-11-01,100,App,Tarjeta Crédito
C029,2024-11-01,40,Tienda Física,Efectivo
C042,2024-11-01,180,Online,Efectivo
C285,2024-11-02,60,Online,Tarjeta Crédito
C247,2024-11-02,180,Tienda Física,Tarjeta Crédito
C267,2024-11-02,40,Tienda Física,Efectivo
C117,2024-11-02,60,Tienda Física,Tarjeta Débito
C070,2024-11-02,160,App,Efectivo
C277,2024-11-02,140,Online,Tarjeta Débito
C083,2024-11-02,160,Tienda Física,Efectivo
C165,2024-11-03,160,Online,Tarjeta Débito
C032,2024-11-03,100,App,Tarjeta Crédito
C232,2024-11-04,60,Online,Tarjeta Débito
C119,2024-11-04,200,Online,Tarjeta Crédito
C268,2024-11-05,50,Tienda Física,Efectivo
C177,2024-11-05,180,Tienda Física,Tarjeta Débito
C205,2024-11-05,10,Tienda Física,Efectivo
C042,2024-11-06,200,Online,Tarjeta Crédito
C194,2024-11-06,200,Online,Tarjeta Crédito
C019,2024-11-06,160,Tienda Física,Tarjeta Crédito
C022,2024-11-06,10,Tienda Física,Efectivo
C206,2024-11-07,200,Tienda Física,Tarjeta Crédito
